beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"IPA Viva","Cerveja Coruja","IPA - American",6.7,58,,,,,,,,,"2019-01-23 20:55:38",https://untappd.com/c/704123294,https://untappd.com/beer/2310829,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",hoppy,,Bottle,704123294,2310829,51729,https://untappd.s3.amazonaws.com/photos/2019_01_23/4ba1a5b1633ec1f7f8cbdec95e069003_raw.jpg,3.77,3.76,,0,0
"Halia (2016)","Goose Island Beer Co.","Farmhouse Ale - Saison",7.9,11,,,,,,,,,"2019-01-26 22:15:40",https://untappd.com/c/705554195,https://untappd.com/beer/1534947,https://untappd.com/brewery/2898,"United States",Chicago,IL,tart,,Bottle,705554195,1534947,2898,https://untappd.s3.amazonaws.com/photos/2019_01_27/694510ffe0bd653ef7d15a6df8ec63b7_raw.jpg,4.06,4.05,,0,0
Rosália,"Cervejaria Colorado","Fruit Beer",4.5,12,,,,,,,,,"2019-01-27 22:12:48",https://untappd.com/c/706070321,https://untappd.com/beer/2000036,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,Bottle,706070321,2000036,4804,https://untappd.s3.amazonaws.com/photos/2019_01_28/d174ed581e087ab72865c5b4e70a3ef8_raw.jpg,3.21,3.29,,0,0
"Skol Puro Malte",AmBev,"Lager - American",4.4,0,,,,,,,,,"2019-01-30 22:49:49",https://untappd.com/c/706692309,https://untappd.com/beer/3023092,https://untappd.com/brewery/4538,Brazil,"São Paulo","São Paulo",,,Can,706692309,3023092,4538,,2.3,2.39,,0,0
"Roleta Russa - New England IPA","Cervejaria Imigração","IPA - New England",6.5,64,,,,,,,,,"2019-02-05 21:22:28",https://untappd.com/c/709190413,https://untappd.com/beer/1911740,https://untappd.com/brewery/106396,Brazil,"Campo Bom","Rio Grande do Sul",,,Bottle,709190413,1911740,106396,https://untappd.s3.amazonaws.com/photos/2019_02_05/4cda60d425205bc65c227e70b75d6f3a_raw.jpg,3.83,3.83,,3,0
"Casa Da Fazenda","Goose Island Brewhouse São Paulo","Farmhouse Ale - Saison",7.5,25,,"Goose Island Brewhouse","São Paulo",SP,Brasil,-23.5652,-46.6939,,"2019-02-28 19:52:55",https://untappd.com/c/717820102,https://untappd.com/beer/3083304,https://untappd.com/brewery/329314,Brazil,"São Paulo","São Paulo",,,Draft,717820102,3083304,329314,https://untappd.s3.amazonaws.com/photos/2019_02_28/81a65297979fa16bc5bdf6b36bac0a1d_raw.jpg,3.8,3.74,,0,0
"Smash’d Up My Knee","Goose Island Brewhouse São Paulo","Farmhouse Ale - Saison",4.7,25,,"Goose Island Brewhouse","São Paulo",SP,Brasil,-23.5652,-46.6939,,"2019-02-28 21:49:58",https://untappd.com/c/717878348,https://untappd.com/beer/3050037,https://untappd.com/brewery/329314,Brazil,"São Paulo","São Paulo",,,Draft,717878348,3050037,329314,,3.66,3.65,,0,0
"Roleta Russa IPA - Revolução das Formigas","Cervejaria Imigração","IPA - American",5.6,59,,,,,,,,,"2019-03-06 21:28:28",https://untappd.com/c/720299168,https://untappd.com/beer/1013415,https://untappd.com/brewery/106396,Brazil,"Campo Bom","Rio Grande do Sul",,,Bottle,720299168,1013415,106396,https://untappd.s3.amazonaws.com/photos/2019_03_07/f2931c1c8b58e5ed5cbfb23c0a6bae19_raw.jpg,3.83,3.83,,1,0
"Ichiban (Ichiban Shibori) (一番搾り)","Kirin Brewery Company","Lager - Pale",5,18,,Sukiya,"São Paulo",SP,Brasil,-23.5461,-46.6513,,"2019-03-16 16:06:26",https://untappd.com/c/724384190,https://untappd.com/beer/4667,https://untappd.com/brewery/741,Japan,Nakano-ku,Tokyo,,Sukiya,Bottle,724384190,4667,741,https://untappd.s3.amazonaws.com/photos/2019_03_16/82e63d70040dd26436d59544e2b3940c_raw.jpg,3.13,3.13,,1,0
"Hop Lover","Cervejaria Dogma","IPA - Imperial / Double",8.4,0,,,,,,,,,"2019-04-15 20:36:10",https://untappd.com/c/737092756,https://untappd.com/beer/507713,https://untappd.com/brewery/48736,Brazil,"São Paulo","São Paulo",hoppy,"Cervejaria Dogma",Draft,737092756,507713,48736,,4.16,4.14,,0,0
"Capítulo 4 NEIPA",UNIKA,"IPA - New England",6.7,78,,"Books & Beers",Florianópolis,SC,Brasil,-27.6045,-48.463,,"2019-04-18 23:00:37",https://untappd.com/c/738114845,https://untappd.com/beer/2046170,https://untappd.com/brewery/256353,Brazil,"Rancho Queimado","Santa Catarina",juicy,,Draft,738114845,2046170,256353,,3.91,3.78,,1,0
Appia,"Cervejaria Colorado",Hefeweizen,5.5,0,,,,,,,,,"2019-06-12 21:25:05",https://untappd.com/c/762346564,https://untappd.com/beer/17764,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,Bottle,762346564,17764,4804,,3.63,3.63,,0,0
"Daily APA","Cervejaria Tupiniquim","Pale Ale - American",5,38,,,,,,,,,"2019-08-30 23:19:36",https://untappd.com/c/798735229,https://untappd.com/beer/2976632,https://untappd.com/brewery/76097,Brazil,"Porto Alegre","Rio Grande do Sul",,,Can,798735229,2976632,76097,https://untappd.s3.amazonaws.com/photos/2019_08_31/507d59e3c8c2177119efa706cb879a2f_raw.jpg,3.52,3.54,,0,0
"Summer IPA","Cervejaria Tupiniquim","IPA - Session / India Session Ale",5,40,,,,,,,,,"2019-08-30 23:21:18",https://untappd.com/c/798736175,https://untappd.com/beer/2765615,https://untappd.com/brewery/76097,Brazil,"Porto Alegre","Rio Grande do Sul",,,Can,798736175,2765615,76097,https://untappd.s3.amazonaws.com/photos/2019_08_31/537d9a2331c10c0b245cf56757f5588b_raw.jpg,3.63,3.64,,0,0
"Machine Hop Gun IPA","Cervejaria Alcatraz","IPA - American",6.5,73,,"Suprema Corte Cervejeira",Criciúma,SC,Brasil,-28.6752,-49.3581,,"2019-09-27 20:59:30",https://untappd.com/c/810100314,https://untappd.com/beer/1498908,https://untappd.com/brewery/203390,Brazil,Criciuma,"Santa Catarina",hoppy,,Draft,810100314,1498908,203390,https://untappd.s3.amazonaws.com/photos/2019_09_27/bd348e35d654f3d4ec0b3a898236b00c_raw.jpg,3.79,3.7,,1,0
APA,"Suprema Corte Cervejeira","Pale Ale - American",0,0,,"Suprema Corte Cervejeira",Criciúma,SC,Brasil,-28.6752,-49.3581,,"2019-09-27 21:43:11",https://untappd.com/c/810135160,https://untappd.com/beer/3281251,https://untappd.com/brewery/434481,Brazil,Criciúma,"Santa Catarina",,,Draft,810135160,3281251,434481,https://untappd.s3.amazonaws.com/photos/2019_09_28/7d214a55a3ae49742940238080d24b37_raw.jpg,0,3.63,,1,0
WAND,"Half Acre Beer Company","IPA - Imperial / Double",7.8,0,,"Cooper's Craft and Kitchen","New York",NY,"United States",40.7268,-73.9891,4.75,"2019-10-04 21:52:01",https://untappd.com/c/813110026,https://untappd.com/beer/2917846,https://untappd.com/brewery/1862,"United States",Chicago,IL,,,Draft,813110026,2917846,1862,,3.99,3.98,,0,0
"Life in the Clouds","Collective Arts Brewing","IPA - New England",6.1,0,,,,,,,,5,"2019-10-09 18:22:06",https://untappd.com/c/815068156,https://untappd.com/beer/2429930,https://untappd.com/brewery/76841,Canada,Hamilton,ON,"fruity,smooth,citrus",,Can,815068156,2429930,76841,https://untappd.s3.amazonaws.com/photos/2019_10_09/d2123785be109087464fef716bdfc369_raw.jpg,3.9,3.9,,0,0
